society,price,sector,pricePerSqft,propertyType,area,superbuilt,carpet,builtup,bedRooms,bathRooms,address,floorNum,facing,agePossesion,balcony,pooja room,servant room,study room,others,store room,furnishType,luxuryScore,areaToBedRatio
  satya the hermitage,1.24,sector 103,8551.72,flat,1450.0,1450.0,870.0,1087.5,2.0,3.0,"Satya The Hermitage Sector 103, Gurgaon",8.0,west,moderatly old property,,0,1,0,0,0,2,95,725.0
  ramprastha the edge towers,1.3,sector 37,,flat,,,,,3.0,3.0,"Ramprastha The Edge Towers Sector 37D, Gurgaon",8.0,south,relatively new property,,0,0,0,0,0,2,129,
  vatika the seven lamps,1.58,sector 82,11045.94,flat,1430.39,1430.39,858.234,1072.7925,2.0,2.0,"Vatika The Seven Lamps Sector 82, Gurgaon",11.0,east,relatively new property,,0,0,1,0,0,1,176,715.195
"  dlf phase 3, gurgaon",13.95,sector 23,31000.0,house,4500.0,5850.0,3825.0,4500.0,6.0,7.0,"  dlf phase 3, gurgaon",4.0,north-east,moderatly old property,3+,1,1,1,0,1,1,199,750.0
"  sushant lok phase 1, gurgaon",9.25,sector 43,,house,,,,,8.0,9.0,"  sushant lok phase 1, gurgaon",3.0,north,relatively new property,3+,1,1,1,1,0,1,63,
"  south zone rwa, sector 23, gurgaon",6.95,sector 23,15444.44,house,4500.0,5850.0,3825.0,4500.0,8.0,8.0,"  south zone rwa, sector 23, gurgaon",3.0,east,moderatly old property,3,1,1,1,0,1,1,86,562.5
  unitech fresco,2.69,sector 50,14651.42,flat,1836.0,1836.0,1193.4,1468.8000000000002,3.0,3.0,"Unitech Fresco Pocket H Nirvana Country, Gurgaon",5.0,north,relatively new property,,0,0,0,1,0,0,221,612.0
  gpl eden heights,2.82,sector 70,12876.71,flat,2190.0,2190.0,1423.5,1752.0,3.0,4.0,"GPL Eden Heights Sector 70, Gurgaon",6.0,east,relatively new property,,0,1,1,1,0,1,221,730.0
  adani m2k oyster grande,5.5,sector 102,12093.23,flat,4548.0,4548.0,3183.6,3865.7999999999997,4.0,5.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",4.0,east,new property,,0,1,0,0,0,2,77,1137.0
"  sector 27, gurgaon",9.0,sector 27,,house,,,,,12.0,12.0,"  sector 27, gurgaon",4.0,east,moderatly old property,3+,1,1,1,0,1,1,74,
  emaar mgf emerald floors premier,3.79,sector 65,,flat,,,,,4.0,4.0,"Emaar MGF Emerald Floors Premier Sector 65, Gurgaon",2.0,north,relatively new property,,0,1,1,0,0,1,139,
"  sector 23, gurgaon",3.75,sector 23,,house,,,,,4.0,4.0,"  sector 23, gurgaon",3.0,na,old property,3,0,0,0,0,0,2,40,
  m3m golfestate,10.5,sector 65,26184.54,flat,4010.0,4010.0,2606.5,3208.0,3.0,3.0,"M3M Golfestate Sector 65, Gurgaon",10.0,na,relatively new property,,1,1,1,0,1,1,84,1336.6666666666667
  adani m2k oyster grande,3.68,sector 102,11507.19,flat,3198.0,3198.0,2238.6,2718.2999999999997,4.0,4.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",6.0,north-east,relatively new property,,0,1,0,0,0,1,110,799.5
  dlf the ultima,3.5,sector 81,16666.67,flat,2100.0,2100.0,1365.0,1680.0,3.0,4.0,"DLF The Ultima Sector 81, Gurgaon",17.0,east,moderatly old property,,0,1,0,0,0,0,204,700.0
  conscient heritage one,3.7,sector 62,18537.07,flat,1996.0,1996.0,1297.4,1596.8000000000002,3.0,3.0,"Conscient Heritage One Sector 62, Gurgaon",16.0,north-east,moderatly old property,,0,1,0,0,0,1,221,665.3333333333334
"  sector 2 palam vihar, gurgaon",4.75,sector 2 sector 1,,house,,,,,9.0,9.0,"  sector 2 palam vihar, gurgaon",3.0,south-west,relatively new property,3,0,0,0,1,0,1,32,
  microtek greenburg,2.2,sector 86,14864.86,flat,1480.0,1480.0,888.0,1110.0,2.0,2.0,"Microtek Greenburg Sector 86, Gurgaon",10.0,east,moderatly old property,,0,0,1,0,0,1,94,740.0
"  anant raj manor villas, sector 63, gurgaon",9.5,sector 63,17272.73,house,5500.0,7150.0,4675.0,5500.0,5.0,5.0,"  anant raj manor villas, sector 63, gurgaon",4.0,north,new property,3+,1,1,1,0,1,0,207,1100.0
  sbtl caladium,2.85,sector 109,9328.97,flat,3055.0,3055.0,2138.5,2596.75,4.0,4.0,"SBTL Caladium Sector 109, Gurgaon",12.0,north-east,moderatly old property,,0,1,0,0,0,1,171,763.75
  m3m merl,6.1,sector 67,18258.01,flat,3341.0,3341.0,2338.7,2839.85,4.0,5.0,"M3M Merlin Sector 67, Gurgaon",4.0,east,relatively new property,,0,1,0,0,0,1,88,835.25
"  south city 1, gurgaon",9.73,sector 41,,house,,,,,5.0,6.0,"  south city 1, gurgaon",3.0,north-east,relatively new property,3,1,1,0,0,1,1,190,
  dlf the ultima,3.65,sector 81,17356.16,flat,2103.0,2103.0,1366.95,1682.4,3.0,3.0,"DLF The Ultima Sector 81, Gurgaon",8.0,west,relatively new property,,0,1,0,0,0,0,110,701.0
  antriksh heights,1.9,sector 84,9382.72,flat,2025.0,2025.0,1316.25,1620.0,3.0,3.0,"Antriksh Heights Sector 84, Gurgaon",0.0,west,relatively new property,,0,1,0,0,0,2,87,675.0
"  sector 40, sector 40, gurgaon",3.3,sector 40,,house,,,,,6.0,6.0,"  sector 40, sector 40, gurgaon",3.0,east,moderatly old property,3+,0,0,0,0,1,1,116,
  sbtl caladium,2.0,sector 109,10638.3,flat,1880.0,1880.0,1222.0,1504.0,3.0,3.0,"SBTL Caladium Sector 109, Gurgaon",11.0,north-west,relatively new property,,0,0,0,0,0,2,63,626.6666666666666
  tulip purple,2.77,sector 69,11541.67,flat,2400.0,2400.0,1680.0,2040.0,4.0,5.0,"Tulip Purple Sector 69, Gurgaon",10.0,east,relatively new property,,0,1,0,0,0,1,205,600.0
  tulip violet,4.39,sector 69,13910.01,flat,3156.0,3156.0,2209.2,2682.6,4.0,6.0,"Tulip Violet Sector 69, Gurgaon",14.0,east,relatively new property,,0,1,0,0,0,2,221,789.0
  mahdra aura,3.2,sector 110,,flat,,,,,4.0,4.0,"Mahindra Aura Sector 110 A, Gurgaon",19.0,north-west,moderatly old property,,0,1,0,0,0,1,70,
  ashiana the center court,1.85,sector 88,11821.09,flat,1565.0,1565.0,1017.25,1252.0,3.0,2.0,"Ashiana The Center Court Sector 88A, Gurgaon",5.0,east,relatively new property,,0,0,0,0,0,1,203,521.6666666666666
"  sector 4, sector 4, gurgaon",6.0,sector 4,,house,,,,,8.0,8.0,"  sector 4, sector 4, gurgaon",3.0,north-east,moderatly old property,3+,1,0,0,0,0,1,58,
  signature the roselia,0.65,sector 95,,flat,,,,,2.0,2.0,"Signature The Roselia Sector 95A, Gurgaon",7.0,north,relatively new property,,0,0,1,0,0,2,71,
"  sector 4, gurgaon",6.5,sector 4,13131.31,house,4950.0,6435.0,4207.5,4950.0,4.0,4.0,"  sector 4, gurgaon",1.0,east,relatively new property,3+,1,0,1,0,1,2,175,1237.5
  signature global grand iva,0.43,sector 103,,flat,,,,,1.0,1.0,"Signature Global Grand IVA Sector 103, Gurgaon",5.0,east,relatively new property,,0,0,0,0,0,0,28,
"  block g sector-57, gurgaon",2.6,sector 57,,house,,,,,9.0,9.0,"  block g sector-57, gurgaon",4.0,east,moderatly old property,3+,0,1,0,0,0,0,76,
  m3m heights,3.7,sector 65,18137.25,flat,2040.0,2040.0,1326.0,1632.0,3.0,3.0,"M3M Heights Sector 65, Gurgaon",15.0,east,relatively new property,,0,1,0,0,0,2,46,680.0
"  international city by sobha phase 2, sector 109, gurgaon",9.25,sector 109,,house,,,,,4.0,4.0,"  international city by sobha phase 2, sector 109, gurgaon",2.0,east,relatively new property,3+,0,1,1,0,0,2,168,
  bestech park view sanskruti,2.37,sector 92,11179.25,flat,2120.0,2120.0,1378.0,1696.0,3.0,4.0,"Bestech Park View Sanskruti Sector 92, Gurgaon",7.0,east,new property,,0,1,0,0,0,2,93,706.6666666666666
"  dlf phase 4, gurgaon",5.7,sector 28,,house,,,,,4.0,4.0,"  dlf phase 4, gurgaon",4.0,east,new property,3+,0,1,0,0,0,1,122,
  ss hibiscus,7.9,sector 50,17954.55,flat,4400.0,4400.0,3080.0,3740.0,4.0,4.0,"SS Hibiscus Sector 50, Gurgaon",5.0,north-east,moderatly old property,,1,1,0,0,0,1,203,1100.0
  ss lden floors,2.9,sector 84,10740.74,flat,2700.0,2700.0,1889.9999999999998,2295.0,4.0,4.0,"SS Linden Floors Sector 84, Gurgaon",2.0,east,relatively new property,,0,0,0,1,0,2,206,675.0
  vatika xpressions,1.8,sector 88b,11612.9,flat,1550.0,1550.0,1007.5,1240.0,3.0,3.0,"Vatika Xpressions Sector 88B, Gurgaon",1.0,east,new property,,0,0,0,1,0,2,103,516.6666666666666
  ramprastha the edge towers,1.07,sector 37,7753.62,flat,1380.0,1380.0,828.0,1035.0,2.0,2.0,"Ramprastha The Edge Towers Sector 37D, Gurgaon",6.0,north-east,relatively new property,,0,0,0,1,0,2,183,690.0
"  unitech uniworld resorts, sector 33, gurgaon",12.9,sector 33,28666.67,house,4500.0,5850.0,3825.0,4500.0,4.0,5.0,"  unitech uniworld resorts, sector 33, gurgaon",3.0,east,new property,3+,1,1,1,0,1,2,77,1125.0
  bestech park view ananda,2.15,sector 81,11878.45,flat,1810.0,1810.0,1176.5,1448.0,3.0,3.0,"Bestech Park View Ananda Sector 81, Gurgaon",8.0,east,moderatly old property,,0,0,0,1,0,1,63,603.3333333333334
"  a block sushant lok phase 1, gurgaon",21.0,sector 43,,house,,,,,4.0,4.0,"  a block sushant lok phase 1, gurgaon",4.0,east,new property,3,0,1,0,0,0,1,63,
  unitech uniworld city,5.39,sector 30,20044.63,flat,2689.0,2689.0,1747.8500000000001,2151.2000000000003,3.0,5.0,"Unitech Uniworld City Sector 30, Gurgaon",5.0,north,old property,,0,1,0,0,0,1,102,896.3333333333334
  m3m the mara,1.6,sector 68,12698.41,flat,1260.0,1260.0,756.0,945.0,2.0,2.0,"M3M The Marina Sector 68, Gurgaon",7.0,north-east,moderatly old property,,1,0,0,0,0,1,203,630.0
"  sector 10a, gurgaon",3.75,sector 10,,house,,,,,5.0,5.0,"  sector 10a, gurgaon",3.0,north-east,relatively new property,3+,0,0,0,0,1,2,191,
"  rajendra park, gurgaon",0.28,sector 105,,house,,,,,2.0,1.0,"  rajendra park, gurgaon",2.0,north,moderatly old property,1,0,0,0,0,0,2,8,
  brisk lumbi terrace homes,2.45,sector 109,8521.74,flat,2875.0,2875.0,2012.4999999999998,2443.75,4.0,4.0,"Brisk Lumbini Terrace Homes Sector 109, Gurgaon",9.0,east,relatively new property,,0,1,0,0,0,1,167,718.75
"  sector 15 part 2, gurgaon",6.5,sector 15,,house,,,,,4.0,5.0,"  sector 15 part 2, gurgaon",2.0,north-east,moderatly old property,3,0,0,0,0,0,1,40,
"  sushant lok phase 3, gurgaon",8.0,sector 57,,house,,,,,5.0,5.0,"  sushant lok phase 3, gurgaon",5.0,east,relatively new property,2,0,1,0,0,0,1,73,
"  dlf phase 2, gurgaon",7.95,sector 25,,house,,,,,4.0,3.0,"  dlf phase 2, gurgaon",2.0,west,moderatly old property,2,0,1,0,0,0,0,46,
  sobha city,3.2,sector 108,18702.51,flat,1711.0,1711.0,1112.15,1368.8000000000002,3.0,3.0,"Sobha City Sector 108, Gurgaon",16.0,north,new property,,0,0,0,0,0,2,175,570.3333333333334
  unitech escape,2.4,sector 50,15483.87,flat,1550.0,1550.0,930.0,1162.5,2.0,2.0,"Unitech Escape Nirvana Country, Gurgaon",10.0,north-east,moderatly old property,,0,0,1,0,0,2,221,775.0
"  sector 9, gurgaon",6.0,sector 9,,house,,,,,4.0,4.0,"  sector 9, gurgaon",2.0,north-east,relatively new property,3+,0,0,0,0,1,2,145,
  shapoorji pallonji joyville gurugram,2.48,sector 102,,flat,,,,,3.0,3.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",16.0,east,new property,,1,1,1,0,0,2,99,
"  vipul tatvam villa, sector 48, gurgaon",14.5,sector 48,30526.32,house,4750.0,6175.0,4037.5,4750.0,4.0,5.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,south-east,moderatly old property,3+,1,1,1,0,0,1,63,1187.5
"  sector 7 extension, gurgaon",2.3,sector 7 extensi,,house,,,,,2.0,2.0,"  sector 7 extension, gurgaon",2.0,south-west,old property,2,0,0,0,0,0,2,80,
  tulip purple,2.75,sector 69,11458.33,flat,2400.0,2400.0,1680.0,2040.0,4.0,5.0,"Tulip Purple Sector 69, Gurgaon",6.0,north,relatively new property,,0,1,0,0,0,2,118,600.0
  tulip yellow,2.42,sector 69,14201.88,flat,1704.0,1704.0,1107.6000000000001,1363.2,3.0,3.0,"Tulip Yellow Sector 69, Gurgaon",7.0,east,relatively new property,,0,0,0,0,0,2,221,568.0
"  vipul tatvam villa, sector 48, gurgaon",14.0,sector 48,31111.11,house,4500.0,5850.0,3825.0,4500.0,5.0,6.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,north,relatively new property,3,1,1,1,1,0,1,53,900.0
  emaar mgf the palm drive,3.85,sector 66,18333.33,flat,2100.0,2100.0,1470.0,1785.0,4.0,4.0,"Emaar MGF The Palm Drive Sector 66, Gurgaon",3.0,north-east,moderatly old property,,0,1,1,0,0,1,173,525.0
"  cyber city, t block, dlf phase 3, gurgaon",8.48,sector 23,29817.16,house,2844.0,3697.2000000000003,2417.4,2844.0,6.0,6.0,"  cyber city, t block, dlf phase 3, gurgaon",2.0,north-east,moderatly old property,3+,0,1,0,0,0,1,182,474.0
  experion the heartsong,1.83,sector 108,10409.56,flat,1758.0,1758.0,1142.7,1406.4,3.0,3.0,"Experion The Heartsong Sector 108, Gurgaon",6.0,west,relatively new property,,0,1,1,0,0,2,46,586.0
  paras dews,1.44,sector 106,10397.11,flat,1385.0,1385.0,831.0,1038.75,2.0,2.0,"Paras Dews Sector 106, Gurgaon",3.0,south-east,relatively new property,,1,0,0,0,0,2,129,692.5
  central park flower valley,9.0,sector 33,16126.14,flat,5581.0,5581.0,3906.7,4743.849999999999,4.0,5.0,"Central Park Flower Valley Sector-33 Sohna, Gurgaon",10.0,east,new property,,1,1,0,1,0,0,221,1395.25
"  ansal heights, sector 92, gurgaon",3.25,sector 92,,house,,,,,4.0,4.0,"  ansal heights, sector 92, gurgaon",3.0,north-east,new property,3+,0,0,0,0,0,2,163,
"  assotech blith, sector 99, gurgaon",7.15,sector 99,27680.99,house,2583.0,3357.9,2195.5499999999997,2583.0,4.0,4.0,"  assotech blith, sector 99, gurgaon",3.0,east,under construction,3+,1,1,1,0,1,2,99,645.75
"  sushant lok 3 extension, gurgaon",7.4,sector 57,,house,,,,,12.0,12.0,"  sushant lok 3 extension, gurgaon",4.0,east,new property,3+,0,0,0,0,0,2,75,
  krisumi waterfall residences,3.8,sector 36,,flat,,,,,3.0,3.0,"Krisumi Waterfall Residences Sector 36A, Gurgaon",6.0,north,new property,,0,0,0,0,0,2,94,
"  anant raj manor villas, sector 63, gurgaon",8.7,sector 63,13384.62,house,6500.0,8450.0,5525.0,6500.0,5.0,6.0,"  anant raj manor villas, sector 63, gurgaon",4.0,east,relatively new property,3+,1,1,1,0,1,2,148,1300.0
"  sector 65, gurgaon",4.66,sector 65,,house,,,,,4.0,4.0,"  sector 65, gurgaon",1.0,north-east,moderatly old property,3,1,1,1,0,1,1,142,
  m3m heights,2.35,sector 65,18636.0,flat,1261.0,1261.0,756.6,945.75,2.0,2.0,"M3M Heights Sector 65, Gurgaon",29.0,north-east,relatively new property,,0,0,0,1,0,2,46,630.5
"  block a south city 1, gurgaon, haryana",7.5,block a sector 41,,house,,,,,4.0,4.0,"  block a south city 1, gurgaon, haryana",2.0,east,moderatly old property,2,1,1,1,0,0,2,55,
  pareena mi casa,1.75,sector 68,11800.4,flat,1483.0,1483.0,963.95,1186.4,3.0,2.0,"Pareena Mi Casa Sector 68, Gurgaon",10.0,east,new property,,0,0,0,0,0,1,221,494.3333333333333
"  unitech uniworld resorts, sector 33, gurgaon",12.2,sector 33,15641.03,house,7800.0,10140.0,6630.0,7800.0,5.0,6.0,"  unitech uniworld resorts, sector 33, gurgaon",3.0,north-west,relatively new property,3+,1,1,1,0,1,1,201,1560.0
"  rajendra park, gurgaon",1.32,sector 105,12222.22,house,1080.0,1404.0,918.0,1080.0,4.0,3.0,"  rajendra park, gurgaon",2.0,south,relatively new property,2,1,1,1,0,1,2,42,270.0
"  unitech uniworld resorts, sector 33, gurgaon",11.5,sector 33,25555.56,house,4500.0,5850.0,3825.0,4500.0,5.0,6.0,"  unitech uniworld resorts, sector 33, gurgaon",3.0,north-east,relatively new property,3,1,1,1,0,1,1,199,900.0
  m3m woodshire,1.39,sector 107,9061.28,flat,1534.0,1534.0,920.4,1150.5,2.0,2.0,"M3M Woodshire Sector 107, Gurgaon",12.0,south-east,relatively new property,,0,0,1,0,0,1,221,767.0
  m3m woodshire,2.2,sector 107,9318.09,flat,2361.0,2361.0,1534.65,1888.8000000000002,3.0,4.0,"M3M Woodshire Sector 107, Gurgaon",8.0,south-east,relatively new property,,1,1,0,0,0,1,221,787.0
  puri diplomatic greens,4.8,sector 111,16271.19,flat,2950.0,2950.0,2065.0,2507.5,4.0,5.0,"Puri Diplomatic Greens Sector 111, Gurgaon",10.0,north-east,new property,,0,1,0,0,0,2,87,737.5
  mapsko mount ville,2.0,sector 79,12345.68,flat,1620.0,1620.0,1053.0,1296.0,3.0,3.0,"Mapsko Mount Ville Sector 79, Gurgaon",7.0,north-east,relatively new property,,0,0,0,0,0,1,157,540.0
"  vatika signature villas, sector 82, gurgaon",12.0,sector 82,,house,,,,,5.0,5.0,"  vatika signature villas, sector 82, gurgaon",1.0,north-east,relatively new property,2,1,1,1,0,1,0,190,
  aipl the peaceful homes,2.3,sector 70,17638.04,flat,1304.0,1304.0,782.4,978.0,2.0,2.0,"AIPL The Peaceful Homes Sector 70A, Gurgaon",25.0,east,relatively new property,,0,0,0,0,0,2,94,652.0
"  unitech aspen greens, nirvana country, gurgaon",10.7,sector 50,,house,,,,,4.0,4.0,"  unitech aspen greens, nirvana country, gurgaon",2.0,north,relatively new property,3+,0,1,0,0,0,1,207,
"  saksham welfare association, sector 22, gurgaon",6.52,sector 22,,house,,,,,4.0,4.0,"  saksham welfare association, sector 22, gurgaon",2.0,east,moderatly old property,2,1,0,0,0,1,1,192,
  unitech escape,2.55,sector 50,16451.61,flat,1550.0,1550.0,930.0,1162.5,2.0,2.0,"Unitech Escape Nirvana Country, Gurgaon",6.0,north-east,old property,,0,0,1,0,0,1,221,775.0
"  dlf phase 2, gurgaon",15.28,sector 25,33955.56,house,4500.0,5850.0,3825.0,4500.0,6.0,7.0,"  dlf phase 2, gurgaon",4.0,north-east,moderatly old property,3+,1,1,1,0,1,2,190,750.0
"  ansals palam vihar, pocket e sector 2 palam vihar, gurgaon",10.5,sector 1,22435.9,house,4680.0,6084.0,3978.0,4680.0,4.0,4.0,"  ansals palam vihar, pocket e sector 2 palam vihar, gurgaon",3.0,west,moderatly old property,3,0,0,1,0,1,1,134,1170.0
"  sector 28, gurgaon",9.0,sector 28,,house,,,,,8.0,8.0,"  sector 28, gurgaon",4.0,east,relatively new property,3+,1,1,1,0,1,1,105,
  emaar mgf the palm drive,4.22,sector 66,19181.82,flat,2200.0,2200.0,1430.0,1760.0,3.0,4.0,"Emaar MGF The Palm Drive Sector 66, Gurgaon",7.0,north-east,relatively new property,,0,1,0,0,0,1,221,733.3333333333334
"  dlf city phase 1, dlf phase 1, gurgaon",13.5,sector 26,50000.0,house,2700.0,3510.0,2295.0,2700.0,5.0,6.0,"  dlf city phase 1, dlf phase 1, gurgaon",4.0,na,moderatly old property,3+,1,1,1,0,1,0,63,540.0
"  sector 47, gurgaon",8.25,sector 47,,house,,,,,5.0,5.0,"  sector 47, gurgaon",2.0,south-west,relatively new property,3+,1,1,1,0,1,1,105,
  ats tourmale,2.0,sector 109,11428.57,flat,1750.0,1750.0,1137.5,1400.0,3.0,3.0,"ATS Tourmaline Sector 109, Gurgaon",20.0,na,relatively new property,,0,0,0,0,0,2,39,583.3333333333334
  adani m2k oyster grande,2.6,sector 102,13698.63,flat,1898.0,1898.0,1233.7,1518.4,3.0,3.0,"Adani M2K Oyster Grande Sector 102, Gurgaon",13.0,east,relatively new property,,0,1,0,0,0,1,100,632.6666666666666
"  palam vihar, gurgaon",3.4,sector 1,,house,,,,,5.0,4.0,"  palam vihar, gurgaon",3.0,west,old property,2,0,0,0,0,0,2,75,
"  south city 2, gurgaon",4.0,sector 49,8230.45,house,4860.0,6318.0,4131.0,4860.0,10.0,10.0,"  south city 2, gurgaon",5.0,north,relatively new property,3+,0,0,0,1,0,0,127,486.0
  parsvnath exotica,8.75,sector 53,24787.54,flat,3530.0,3530.0,2294.5,2824.0,3.0,4.0,"Parsvnath Exotica Sector 53, Gurgaon",13.0,north-east,old property,,1,1,0,0,0,1,170,1176.6666666666667
"  dlf phase 1, gurgaon",7.25,sector 26,,house,,,,,5.0,5.0,"  dlf phase 1, gurgaon",3.0,east,old property,3+,0,1,0,0,0,1,46,
  unitech uniworld city,4.5,sector 30,19003.38,flat,2368.0,2368.0,1539.2,1894.4,3.0,5.0,"Unitech Uniworld City Sector 30, Gurgaon",4.0,north-west,moderatly old property,,0,1,0,0,0,1,78,789.3333333333334
  emaar mgf the palm drive,6.5,sector 66,19696.97,flat,3300.0,3300.0,2145.0,2640.0,3.0,5.0,"Emaar MGF The Palm Drive Sector 66, Gurgaon",10.0,north-west,relatively new property,,0,1,0,1,0,1,117,1100.0
  dlf the belaire,13.2,sector 54,31428.57,flat,4200.0,4200.0,2940.0,3570.0,4.0,4.0,"DLF The Belaire Sector 54, Gurgaon",9.0,north-east,moderatly old property,,0,1,1,0,0,1,78,1050.0
"  sushant lok 3 extension, gurgaon",5.45,sector 57,,house,,,,,3.0,4.0,"  sushant lok 3 extension, gurgaon",2.0,north,relatively new property,3,0,1,1,0,0,2,35,
  shapoorji pallonji joyville gurugram,3.05,sector 102,14107.31,flat,2162.0,2162.0,1513.3999999999999,1837.7,4.0,4.0,"Shapoorji Pallonji Joyville Gurugram Sector 102, Gurgaon",12.0,north-east,relatively new property,,0,0,0,0,0,2,120,540.5
  m3m heights,3.35,sector 65,18326.04,flat,1828.0,1828.0,1188.2,1462.4,3.0,3.0,"M3M Heights Sector 65, Gurgaon",25.0,east,new property,,0,1,0,0,0,1,84,609.3333333333334
  dlf the ultima,3.7,sector 81,17593.91,flat,2103.0,2103.0,1366.95,1682.4,3.0,3.0,"DLF The Ultima Sector 81, Gurgaon",19.0,north-west,relatively new property,,0,1,0,0,0,0,110,701.0
  pareena mi casa,1.55,sector 68,12449.8,flat,1245.0,1245.0,747.0,933.75,2.0,2.0,"Pareena Mi Casa Sector 68, Gurgaon",10.0,west,relatively new property,,0,0,0,1,0,2,80,622.5
  mapsko mount ville,2.37,sector 79,13057.85,flat,1815.0,1815.0,1179.75,1452.0,3.0,4.0,"Mapsko Mount Ville Sector 79, Gurgaon",18.0,north,relatively new property,,0,1,0,0,0,1,221,605.0
  ramprastha the edge towers,1.38,sector 37,8238.81,flat,1675.0,1675.0,1088.75,1340.0,3.0,3.0,"Ramprastha The Edge Towers Sector 37D, Gurgaon",10.0,north,relatively new property,,0,0,0,0,0,2,98,558.3333333333334
"  vipul tatvam villa, sector 48, gurgaon",14.5,sector 48,32222.22,house,4500.0,5850.0,3825.0,4500.0,5.0,6.0,"  vipul tatvam villa, sector 48, gurgaon",2.0,north,moderatly old property,3+,1,1,1,0,1,1,93,900.0
  orchid petals,3.05,sector 49,16897.51,flat,1805.0,1805.0,1173.25,1444.0,3.0,3.0,"Orchid Petals Sector 49, Gurgaon",12.0,south,relatively new property,,0,0,0,1,0,1,221,601.6666666666666
  ireo the corridors,2.1,sector 67,13636.36,flat,1540.0,1540.0,924.0,1155.0,2.0,2.0,"Ireo The Corridors Sector 67A, Gurgaon",8.0,north-west,moderatly old property,,0,0,1,0,0,1,187,770.0
  dlf the skycourt,2.35,sector 86,12182.48,flat,1929.0,1929.0,1253.8500000000001,1543.2,3.0,3.0,"DLF The Skycourt Sector 86, Gurgaon",12.0,north-east,relatively new property,,0,0,0,0,0,1,178,643.0
  emaar mgf the palm drive,4.4,sector 66,20000.0,flat,2200.0,2200.0,1430.0,1760.0,3.0,3.0,"Emaar MGF The Palm Drive Sector 66, Gurgaon",6.0,north,moderatly old property,,0,1,0,0,0,1,221,733.3333333333334
"  dlf galleria, dlf phase 4, gurgaon",11.5,sector 28,,house,,,,,13.0,14.0,"  dlf galleria, dlf phase 4, gurgaon",2.0,north-east,relatively new property,3+,1,1,0,0,1,1,165,
  imperia the esfera,1.3,sector 37,8238.28,flat,1578.0,1578.0,946.8,1183.5,2.0,3.0,"Imperia The Esfera Sector 37C, Gurgaon",8.0,north-east,new property,,0,0,1,0,0,2,103,789.0
"  independent floor at dlf city, t block, dlf phase 3, gurgaon",8.48,sector 23,29577.96,house,2867.0,3727.1,2436.95,2867.0,6.0,6.0,"  independent floor at dlf city, t block, dlf phase 3, gurgaon",2.0,north-east,moderatly old property,3+,0,1,0,0,0,1,148,477.8333333333333
"  malibu town, gurgaon",3.2,sector 47,,house,,,,,11.0,11.0,"  malibu town, gurgaon",4.0,west,relatively new property,3+,1,0,0,0,0,0,198,
"  dlf new town heights 2, sector 86, gurgaon",4.69,sector 86,14656.25,house,3200.0,4160.0,2720.0,3200.0,5.0,5.0,"  dlf new town heights 2, sector 86, gurgaon",2.0,na,relatively new property,3,1,1,1,0,1,0,45,640.0
"  sector 4, gurgaon",4.25,sector 4,,house,,,,,4.0,4.0,"  sector 4, gurgaon",1.0,west,relatively new property,3+,0,1,0,0,0,1,104,
  ats triumph,2.63,sector 104,10520.0,flat,2500.0,2500.0,1625.0,2000.0,3.0,4.0,"ATS Triumph Sector 104, Gurgaon",7.0,south-east,relatively new property,,0,1,0,0,0,2,107,833.3333333333334
  m3m woodshire,1.75,sector 107,9006.69,flat,1943.0,1943.0,1262.95,1554.4,3.0,3.0,"M3M Woodshire Sector 107, Gurgaon",12.0,north-west,relatively new property,,1,0,0,0,0,2,221,647.6666666666666
"  greenwood city, gurgaon",2.35,sector 45,,house,,,,,4.0,4.0,"  greenwood city, gurgaon",3.0,east,relatively new property,3,1,1,1,0,1,2,81,
  block h,4.7,sector 26,17407.41,flat,2700.0,2700.0,1889.9999999999998,2295.0,4.0,4.0,"Block H, DLF Phase 1 Block H, DLF City Phase 1, Gurgaon",2.0,na,new property,,1,1,1,0,1,1,109,675.0
  tarc maceo,1.99,sector 91,10687.43,flat,1862.0,1862.0,1210.3,1489.6000000000001,3.0,3.0,"TARC Maceo Sector 91, Gurgaon",6.0,north-east,relatively new property,,0,0,0,0,0,2,152,620.6666666666666
  m3m golfestate,7.5,sector 65,19510.93,flat,3844.0,3844.0,2498.6,3075.2000000000003,3.0,4.0,"M3M Golfestate Sector 65, Gurgaon",11.0,east,relatively new property,,1,1,1,0,1,0,214,1281.3333333333333
"  dlf new town heights 2, sector 86, gurgaon",4.55,sector 86,,house,,,,,4.0,4.0,"  dlf new town heights 2, sector 86, gurgaon",4.0,north,moderatly old property,3+,1,1,1,0,0,2,96,
  ats marigold,2.85,sector 89,10754.72,flat,2650.0,2650.0,1722.5,2120.0,3.0,4.0,"ATS Marigold Sector 89 A, Gurgaon",9.0,east,new property,,0,1,1,0,0,2,115,883.3333333333334
"  a block sushant lok phase 1, gurgaon",25.0,sector 43,34167.01,house,7317.0,9512.1,6219.45,7317.0,11.0,11.0,"  a block sushant lok phase 1, gurgaon",3.0,south-east,old property,2,1,1,1,0,1,2,60,665.1818181818181
