,society,price,area,areaWithType,bedRooms,bathRooms,additionalRooms,address,floorNum,facing,agePossesion,nearbyLocation,description,furnishDetails,features,propertyId,links
1841, in SS The Leaf,2.72 Crore,2408.0,2300.0,3 Bedrooms,4 Bathrooms,Servant Room,"SS The Leaf
Sector 85, Gurgaon",2nd   of 26 Floors,East,1 to 5 Year Old,"['Sapphire 83 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'NH 08', 'Pataudi Road', 'Delhi Public School Sector 84', 'DPG Institute of Technology', 'Genesis Hospital Sector 84', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'SkyJumper Trampoline Park', 'Nakhrola Stadium Sector 81A']","This lovely 3 bhk apartment/flat in sector 85 gurgaon is available for sale in one of gurgaon's most popular projects, ss the leaf. This property faces the east direction. Constructed on a super built up area of 2408 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and 3 balconies. The property ...","['5 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",Y79276003,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ss-the-leaf-sector-85-gurgaon-2408-sq-ft-spid-Y79276003
1842, in SS The Leaf,1.67 Crore,1640.0,1560.0,2 Bedrooms,2 Bathrooms,Study Room,"SS The Leaf
Sector 85, Gurgaon",8th   of 26 Floors,East,1 to 5 Year Old,"['Sapphire 83 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'NH 08', 'Pataudi Road', 'Delhi Public School Sector 84', 'DPG Institute of Technology', 'Genesis Hospital Sector 84', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'SkyJumper Trampoline Park', 'Nakhrola Stadium Sector 81A']","Looking for a 2 bhk property for sale in gurgaon? Buy this 2 bhk flat in ss the leaf that is situated in sector 85 gurgaon. The flat is east-Facing. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1640 sq.Ft. The property is located on the 8th ...","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,D79274005,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ss-the-leaf-sector-85-gurgaon-1640-sq-ft-spid-D79274005
1843, in SS The Leaf,3.11 Crore,2812.0,2450.0,4 Bedrooms,5 Bathrooms,,"SS The Leaf
Sector 85, Gurgaon",2nd   of 26 Floors,West,1 to 5 Year Old,"['Sapphire 83 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'NH 08', 'Pataudi Road', 'Delhi Public School Sector 84', 'DPG Institute of Technology', 'Genesis Hospital Sector 84', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'SkyJumper Trampoline Park', 'Nakhrola Stadium Sector 81A']","Located in the popular residential address of sector 85 gurgaon, ss the leaf is one of the most preferred destination for apartments in gurgaon. This 4 bhk flat is your ticket to be a part of this community. This is a west-Facing property. The flat occupies a super built up area of 2812 sq.Ft. That ...","['5 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",N79274155,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ss-the-leaf-sector-85-gurgaon-2812-sq-ft-spid-N79274155
1844, in Orchid Petals,4.2 Crore,2562.0,2500.0,4 Bedrooms,4 Bathrooms,"Servant Room,Others","Orchid Petals
Uppals Southend, Gurgaon",9th   of 14 Floors,North,1 to 5 Year Old,"['Sapphire Mall', 'Omaxe City Centre', 'BigBazaar', 'Sohna Rd', 'Kinder Care Playschool', 'Kangaroo Kids Preschool', 'shiv Mandir', 'Polaris Hospital', 'Medanta Hospital', 'Artemis Hospital', 'HDFC Bank', 'Radisson Hotel', 'SRS Cinemas']","Looking for a 4 bhk property for sale in gurgaon? Buy this 4 bhk flat in orchid petals that is situated in uppals southend, gurgaon. The flat is north-Facing. The flat is over 2562 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 3 balconies. The residential building has 14 fl...","['5 Wardrobe', '8 Fan', '1 Exhaust Fan', '4 Geyser', '15 Light', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",F79001543,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-orchid-petals-uppals-southend-gurgaon-2562-sq-ft-spid-F79001543
1845, in DLF The Skycourt,2.24 Crore,1929.0,1630.0,3 Bedrooms,3 Bathrooms,Pooja Room,"DLF The Skycourt
Sector 86, Gurgaon",5th   of 19 Floors,North-East,1 to 5 Year Old,"['Sapphire 83 Mall', 'NH-8, Imt Manesar', 'Rao Bharat Singh International School', 'DPG Institute of Technology', 'Aarvy Healthcare', 'Indira Gandhi International Airport', 'Imt Manesar', 'Holiday Inn Hotel Sector 90', 'Aapno Ghar', 'National Tennis Academy Sector 98']","Located in the popular residential address of sector 86 gurgaon, dlf the skycourt is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. The flat is north-East-Facing. Containing 3 bedroom(s), 3 bathrooms and 1 balcony, this...","['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '3 Geyser', '14 Light', '3 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",T78921725,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-the-skycourt-sector-86-gurgaon-1929-sq-ft-spid-T78921725
1846, in Experion The Heartsong,1.9 Crore,1758.0,,3 Bedrooms,3 Bathrooms,"Study Room,Servant Room","Experion The Heartsong
Sector 108, Gurgaon",14th   of 14 Floors,West,1 to 5 Year Old,"['Galleria 108 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'The Shikshiyan School', 'Manipal Hospital', 'Indira Gandhi International Airport', 'Vivanta New Delhi, Dwarka', 'SkyJumper Trampoline Park', 'Fun N Food Village']","A 3 bhk flat is available for sale in gurgaon sector-108 gurgaon. This east facing property is a part of kashimira. The built-Up area is 1400 sq.Ft. The carpet area is 1250 sq.Ft.
This is a a semi-Furnished with 5ac.
It has more than two bathrooms.The apartment with more than 3 balconies has main ro...","['5 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",U61120206,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-the-heartsong-sector-108-gurgaon-1758-sq-ft-r16-spid-U61120206
1847, in Sobha City,3.75 Crore,2003.0,1280.17,3 Bedrooms,4 Bathrooms,Study Room,"Sobha City
Sector 108, Gurgaon",5th   of 18 Floors,North-East,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'WTC Plaza', 'Dwarka Expressway', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Chintels Corporate Park Sec 114 Gurgaon', 'Country Inn & Suites by Radisson', 'Hamoni Golf Camp', 'Tau DeviLal Sports Complex']","This is a north-East facing under-Construction unfurnished 3 bhk flat for sale in sector-108 gurgaon ,gurgaon. It is a part of with possession in within 6 months. It has 4 bathroom(s). The width of the main road facing the property is 75.00 sq.Yards. The apartment is equipped with 3 balconies that k...","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center', 'Water softening plant']",,D57850194,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-2003-sq-ft-r17-spid-D57850194
1848, in Sobha City,2.55 Crore,1381.0,848.2,2 Bedrooms,2 Bathrooms,,"Sobha City
Sector 108, Gurgaon",7th   of 18 Floors,North-East,1 to 5 Year Old,"['Dwarka Sector 21 Metro Station', 'WTC Plaza', 'Dwarka Expressway', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Chintels Corporate Park Sec 114 Gurgaon', 'Country Inn & Suites by Radisson', 'Hamoni Golf Camp', 'Tau DeviLal Sports Complex']","This is a north-East facing under-Construction unfurnished 2 bhk flat for sale in sector-108 gurgaon ,gurgaon. It is a part of with possession in within 6 months. It has 2 bathroom(s). The width of the main road facing the property is 75.00 sq.Yards. The apartment is equipped with 3 balconies that k...","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Waste Disposal', 'Water softening plant']",,K57850012,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-1381-sq-ft-r18-spid-K57850012
1849, in Ansal API Esencia,1.6 Crore,,1638.0,3 Bedrooms,3 Bathrooms,,"Ansal API Esencia
Sector 67, Gurgaon",3rd   of 4 Floors,,0 to 1 Year Old,"['Proposed Metro corridor', 'N.H-8', 'Golf Course Road', 'Shiskshantar', 'DPS', 'Amity', 'Pathways', 'GD Goenka', 'Medicity', 'Artemis', 'Max, Fortis', 'Apollo']","We are the proud owners of this 3 bhk apartment available in ranipokhari, sector 67 gurgaon, gurgaon. This unfurnished apartment is a 0-1 year old property, priced approximately at rs. 9768.00 per sq.Ft. Or rs. Rs1.6 crore.  it is a resale and a ready to move in apartment. The unit is located on 3rd...",,,P80890807,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-ansal-api-esencia-sector-67-gurgaon-1638-sq-ft-spid-P80890807
1850, in Sobha City,3.35 Crore,1711.0,,3 Bedrooms,3 Bathrooms,,"Sobha City
Sector 108, Gurgaon",4th   of 24 Floors,East,0 to 1 Year Old,"['Dwarka Sector 21 Metro Station', 'WTC Plaza', 'Dwarka Expressway', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Chintels Corporate Park Sec 114 Gurgaon', 'Country Inn & Suites by Radisson', 'Hamoni Golf Camp', 'Tau DeviLal Sports Complex']","This is a very well maintained project as well as the club house is full of ameneties one could ask for.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay con...","['1 Exhaust Fan', '3 Geyser', '10 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",P67534324,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-1711-sq-ft-r7-spid-P67534324
1851, in Shapoorji Pallonji Joyville Gurugram,2.95 Crore,2180.0,,4 Bedrooms,4 Bathrooms,Servant Room,"Shapoorji Pallonji Joyville Gurugram
Sector 102, Gurgaon",10th   of 26 Floors,North-East,1 to 5 Year Old,"['IFFCO Chowk Metro Station', 'The Esplanade Mall by DHOOT GROUP', 'Dwarka Expressway', 'Euro International School', 'The NorthCap University', 'Vibrant Hospital', 'Indira Gandhi International Airport', 'Basai Dhankot Railway Station', 'Hyatt Place Gurgaon Udyog Vihar']","This beautiful 4 bhk flat in sector 102 gurgaon is situated in shapoorji pallonji joyville gurugram, one of the popular residential society in gurgaon. This is a north-East-Facing property. Containing 4 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area...","['5 Fan', '1 Exhaust Fan', '30 Light', '6 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",W73523831,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-2180-sq-ft-r5-spid-W73523831
1852, in Puri Emerald Bay,3.45 Crore,2450.0,,3 Bedrooms,4 Bathrooms,Servant Room,"Puri Emerald Bay
Sector 104, Gurgaon",10th   of 29 Floors,West,1 to 5 Year Old,"['Sector-21 Metro Dwarka', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Chauma Road', 'Delhi Public School', 'DPG Degree College', 'The NorthCap University', 'Chirag Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Infinity Business Park', 'Park Inn', ""Oyster's Water Park"", 'DLF Golf and Country Club']","Check out this 3 bhk apartment for sale in puri emerald bay, a popular residential project that houses in-Demand flats in sector 104 gurgaon. This property faces the north-East direction. Containing 3 bedroom(s), 4 bathrooms and more than 3 balconies, this flat is spread over a super built up area o...","['5 Fan', '3 Geyser', '5 Light', '5 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'False Ceiling Lighting', 'Swimming Pool', 'Park', 'Piped-gas', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']",W71743042,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-puri-emerald-bay-sector-104-gurgaon-2450-sq-ft-r6-spid-W71743042
1853, in Puri Diplomatic Greens,4.8 Crore,2950.0,,4 Bedrooms,5 Bathrooms,Servant Room,"Puri Diplomatic Greens
Sector 111, Gurgaon",10th   of 22 Floors,North-East,0 to 1 Year Old,"['Dwarka Sector 21 Metro Station', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Delhi', 'Delhi Jaipur Highway', 'Red Roses Public School', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Indira Gandhi International Airport', 'The Oberoi, Gurgaon']","A north-East facing 4 bhk resale flat is available in the promising locality of sector-111, gurgaon. It is a ready to move in spacious flat and is located on the 10th floor. Every single detail of the flat is carefully designed. This feng shui/vaastu compliant property offers quality specifications ...","['1 Geyser', '6 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",Z44648697,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-puri-diplomatic-greens-sector-111-gurgaon-2950-sq-ft-r18-spid-Z44648697
1854, in Microtek Greenburg,2.25 Crore,1480.0,,2 Bedrooms,2 Bathrooms,Study Room,"Microtek Greenburg
Sector 86, Gurgaon",8th   of 21 Floors,East,5 to 10 Year Old,"['SS Omnia Mall', 'National Highway 8', 'Dwarka Expressway', 'Sidheshwar School', 'Dronacharya College of Engineering', 'Arc Multi Specialty Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Heritage Village Resort & Spa', 'National Tennis Academy']","This lovely 2 bhk apartment/flat in sector 86 gurgaon is available for sale in one of gurgaon's most popular projects, microtek greenburg. The flat is facing the east direction. The flat occupies a super built up area of 1480 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 3 balconies. This flat...","['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '4 Geyser', '16 Light', '1 Modular Kitchen', '4 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",X80770449,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-microtek-greenburg-sector-86-gurgaon-1480-sq-ft-spid-X80770449
1855, in Microtek Greenburg,3.55 Crore,2285.0,,3 Bedrooms,4 Bathrooms,Servant Room,"Microtek Greenburg
Sector 86, Gurgaon",3rd   of 21 Floors,East,1 to 5 Year Old,"['SS Omnia Mall', 'National Highway 8', 'Dwarka Expressway', 'Sidheshwar School', 'Dronacharya College of Engineering', 'Arc Multi Specialty Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Heritage Village Resort & Spa', 'National Tennis Academy']","This beautiful 3 bhk flat in sector 86 gurgaon is situated in microtek greenburg, one of the popular residential society in gurgaon. The flat is facing the east direction. The flat occupies a super built up area of 2285 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and more than 3 balconies. This ...","['1 Water Purifier', '1 Fridge', '6 Fan', '1 Exhaust Fan', '1 Dining Table', '5 Geyser', '1 Stove', '24 Light', '1 Modular Kitchen', '6 AC', '1 Chimney', '1 Curtains', '3 TV', '4 Bed', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No Wardrobe']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",Y80768731,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-microtek-greenburg-sector-86-gurgaon-2285-sq-ft-spid-Y80768731
1856, in DLF Garden City Floors,2.75 Crore,2300.0,1800.0,4 Bedrooms,4 Bathrooms,Servant Room,"DLF Garden City Floors
Sector 92, Gurgaon",2nd   of 4 Floors,North-East,1 to 5 Year Old,"['National Highway 48', 'Rao Bharat Singh International School', 'SGT University', 'Aarvy Hospital', 'Indira Gandhi International Airport', 'Patli Railway Station', 'Hyatt Regency Gurugram', 'Manesar Golf Course', 'Nakhrola Stadium']","Located in the popular residential address of sector 92 gurgaon, dlf garden city floors is one of the most preferred destination for apartments in gurgaon. This 4 bhk flat is your ticket to be a part of this community. This residential flat is north-East-Facing direction. Containing 4 bedroom(s), 4 ...","['6 Fan', '1 Exhaust Fan', '20 Light', '6 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",Y78156461,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-garden-city-floors-sector-92-gurgaon-2300-sq-ft-r1-spid-Y78156461
1857, in DLF New Town Heights 1,2.4 Crore,2364.0,1800.0,4 Bedrooms,4 Bathrooms,"Servant Room,Pooja Room","DLF New Town Heights 1
Sector 90, Gurgaon",10th   of 19 Floors,North-East,1 to 5 Year Old,"['Manish Gallexie 91', 'NH-8 IMT Manesar', 'RHM Public School', 'Silver Streak Multi Speciality Hospital', 'Airport', 'Holiday Inn Gurugram']","This 4 bhk apartment is available for sale in dlf new town heights 1, one of the most prominent projects for flats in sector 90 gurgaon. The flat is north-East-Facing. Constructed on a super built up area of 2364 sq.Ft., the flat comprises 4 bedroom(s), 4 bathrooms and more than 3 balconies. This fl...","['5 Wardrobe', '6 Fan', '6 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",M77261973,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-1-sector-90-gurgaon-2364-sq-ft-r2-spid-M77261973
